	LCA_simplified	Domain	Phylum	Class	Order	Family	Genus	Species
OTU_00697	Actinobacteria	Bacteria	Actinobacteria	Actinobacteria	Corynebacteriales	Nocardiaceae	Rhodococcus	Rhodococcus_erythropolis
OTU_00772	Alphaproteobacteria	Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Sphingopyxis	unclassified
OTU_00785	Alphaproteobacteria	Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	unclassified	unclassified	unclassified
OTU_00791	Alphaproteobacteria	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Rhodobacter	unclassified
OTU_00804	Alphaproteobacteria	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Paracoccus	unclassified
OTU_00814	Alphaproteobacteria	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Family_Incertae_Sedis	Nordella	unclassified
OTU_00817	Alphaproteobacteria	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Bradyrhizobiaceae	Bosea	unclassified
OTU_00825	Bacteroidetes	Bacteria	Bacteroidetes	Sphingobacteria	Sphingobacteriales	Chitinophagaceae	Segetibacter	unclassified
OTU_00831	Deltaproteobacteria	Bacteria	Proteobacteria	Deltaproteobacteria	Myxococcales	0319_6G20	unclassified	unclassified
OTU_00837	Alphaproteobacteria	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Rhodobacter	unclassified
OTU_00843	Actinobacteria	Bacteria	Actinobacteria	Actinobacteria	Micrococcales	Intrasporangiaceae	Phycicoccus	Phycicoccus_sp__YC6719
OTU_00855	Alphaproteobacteria	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	unclassified	unclassified	unclassified
OTU_00872	Deltaproteobacteria	Bacteria	Proteobacteria	Deltaproteobacteria	Bdellovibrionales	Bdellovibrionaceae	Bdellovibrio	unclassified
OTU_00877	Gammaproteobacteria	Bacteria	Proteobacteria	Gammaproteobacteria	Xanthomonadales	Sinobacteraceae	unclassified	unclassified
OTU_00895	Actinobacteria	Bacteria	Actinobacteria	Actinobacteria	Micrococcales	Micrococcaceae	Micrococcus	Micrococcus_luteus
OTU_00898	Actinobacteria	Bacteria	Actinobacteria	Actinobacteria	PeM15	unclassified	unclassified	unclassified
OTU_00908	Alphaproteobacteria	Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	GOBB3_C201	Sphingomonas_sp__HTCC500	unclassified
OTU_00919	Gammaproteobacteria	Bacteria	Proteobacteria	Gammaproteobacteria	Xanthomonadales	Xanthomonadaceae	unclassified	unclassified
OTU_00922	unclassified_Proteobacteria	Bacteria	Proteobacteria	unclassified	unclassified	unclassified	unclassified	unclassified
OTU_00926	unclassified_Bacteria	Bacteria	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified
OTU_00949	Actinobacteria	Bacteria	Actinobacteria	Thermoleophilia	Solirubrobacterales	Patulibacteraceae	Patulibacter	Rubrobacteridae_bacterium_Gsoil_1167
OTU_00959	Alphaproteobacteria	Bacteria	Proteobacteria	Alphaproteobacteria	Caulobacterales	Hyphomonadaceae	unclassified	unclassified
OTU_00971	Alphaproteobacteria	Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	GOBB3_C201	Sphingomonas_sp__HTCC500	unclassified
OTU_00980	Alphaproteobacteria	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	MNG7	unclassified	unclassified
OTU_00982	Betaproteobacteria	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Oxalobacteraceae	Undibacterium	unclassified
OTU_00994	Alphaproteobacteria	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Candidatus_Alysiosphaera	unclassified	unclassified
OTU_01012	Planctomycetes	Bacteria	Planctomycetes	OM190	unclassified	unclassified	unclassified	unclassified
OTU_01016	Alphaproteobacteria	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	unclassified	unclassified
OTU_01040	TA18	Bacteria	Proteobacteria	TA18	unclassified	unclassified	unclassified	unclassified
OTU_01041	Alphaproteobacteria	Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Sphingomonas	unclassified
OTU_01047	Armatimonadetes	Bacteria	Armatimonadetes	unclassified	unclassified	unclassified	unclassified	unclassified
OTU_01051	Alphaproteobacteria	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Rhodovulum	unclassified
OTU_01058	Bacteroidetes	Bacteria	Bacteroidetes	Sphingobacteria	Sphingobacteriales	Saprospiraceae	unclassified	unclassified
OTU_01094	Gammaproteobacteria	Bacteria	Proteobacteria	Gammaproteobacteria	Xanthomonadales	Xanthomonadaceae	Thermomonas	unclassified
OTU_01115	Candidate_division_TM7	Bacteria	Candidate_division_TM7	unclassified	unclassified	unclassified	unclassified	unclassified
OTU_01136	unclassified_Bacteria	Bacteria	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified
OTU_01139	Verrucomicrobia	Bacteria	Verrucomicrobia	Opitutae	Opitutales	Opitutaceae	Opitutus	Opitutaceae_bacterium_TAV2
OTU_01144	Alphaproteobacteria	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	C2U	unclassified	unclassified
OTU_01163	Alphaproteobacteria	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Methylocystaceae	Methylocystis	unclassified
OTU_01221	Alphaproteobacteria	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	unclassified	unclassified
OTU_01228	Alphaproteobacteria	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	unclassified	unclassified
OTU_01241	Alphaproteobacteria	Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Novosphingobium	unclassified
OTU_01243	unclassified_Bacteria	Bacteria	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified
OTU_01246	Planctomycetes	Bacteria	Planctomycetes	Planctomycetacia	Planctomycetales	Planctomycetaceae	Pirellula	unclassified
OTU_01249	Alphaproteobacteria	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Methylocystaceae	Methylocystis	unclassified
OTU_01257	Alphaproteobacteria	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	C2U	unclassified	unclassified
OTU_01258	Bacteroidetes	Bacteria	Bacteroidetes	Sphingobacteria	Sphingobacteriales	Chitinophagaceae	Segetibacter	unclassified
OTU_01264	Alphaproteobacteria	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	unclassified	unclassified
OTU_01273	unclassified_Proteobacteria	Bacteria	Proteobacteria	unclassified	unclassified	unclassified	unclassified	unclassified
OTU_01274	Fusobacteria	Bacteria	Fusobacteria	Fusobacteria	Fusobacteriales	Fusobacteriaceae	Cetobacterium	unclassified
OTU_01296	unclassified_Bacteria	Bacteria	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified
OTU_01308	unclassified_Bacteria	Bacteria	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified
OTU_01310	Bacteroidetes	Bacteria	Bacteroidetes	Sphingobacteria	Sphingobacteriales	Saprospiraceae	unclassified	unclassified
