	LCA_simplified	Domain	Phylum	Class	Order	Family	Genus	Species
OTU_13099	Alphaproteobacteria	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Family_Incertae_Sedis	Agaricicola	unclassified
OTU_13100	Chlamydiae	Bacteria	Chlamydiae	Chlamydiae	Chlamydiales	unclassified	unclassified	unclassified
OTU_13101	Gammaproteobacteria	Bacteria	Proteobacteria	Gammaproteobacteria	Legionellales	Legionellaceae	Legionella	unclassified
OTU_13114	Gammaproteobacteria	Bacteria	Proteobacteria	Gammaproteobacteria	Legionellales	Legionellaceae	Legionella	Legionella_shakespearei
OTU_13116	Planctomycetes	Bacteria	Planctomycetes	Planctomycetacia	Planctomycetales	Planctomycetaceae	Zavarzinella	Zavarzinella_formosa
OTU_13117	unclassified_Bacteria	Bacteria	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified
OTU_13119	unclassified_Proteobacteria	Bacteria	Proteobacteria	unclassified	unclassified	unclassified	unclassified	unclassified
OTU_13120	Betaproteobacteria	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Candidatus_Glomeribacter	unclassified
OTU_13122	Alphaproteobacteria	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Hyphomicrobiaceae	Hyphomicrobium	unclassified
OTU_13123	Gammaproteobacteria	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Moraxellaceae	Acinetobacter	unclassified
OTU_13124	Alphaproteobacteria	Bacteria	Proteobacteria	Alphaproteobacteria	Caulobacterales	Hyphomonadaceae	unclassified	unclassified
OTU_13126	Planctomycetes	Bacteria	Planctomycetes	Planctomycetacia	Planctomycetales	Planctomycetaceae	unclassified	unclassified
OTU_13127	Betaproteobacteria	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Comamonadaceae	Brachymonas	unclassified
OTU_13136	unclassified_Bacteria	Bacteria	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified
OTU_13137	Deltaproteobacteria	Bacteria	Proteobacteria	Deltaproteobacteria	Myxococcales	Sorangiineae	Phaselicystidaceae	Phaselicystis
OTU_13139	Betaproteobacteria	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Comamonadaceae	unclassified	unclassified
OTU_13141	Alphaproteobacteria	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	Holosporaceae	Holospora	unclassified
OTU_13144	Deinococcus_Thermus	Bacteria	Deinococcus_Thermus	Deinococci	Deinococcales	Deinococcaceae	Deinococcus	unclassified
OTU_13146	Betaproteobacteria	Bacteria	Proteobacteria	Betaproteobacteria	SC_I_84	unclassified	unclassified	unclassified
OTU_13147	Deltaproteobacteria	Bacteria	Proteobacteria	Deltaproteobacteria	GR_WP33_30	unclassified	unclassified	unclassified
OTU_13153	Alphaproteobacteria	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Rhodobacter	unclassified
OTU_13155	Planctomycetes	Bacteria	Planctomycetes	Planctomycetacia	Planctomycetales	Planctomycetaceae	unclassified	bacterium_Ellin6059
OTU_13157	Gammaproteobacteria	Bacteria	Proteobacteria	Gammaproteobacteria	NKB5	unclassified	unclassified	unclassified
OTU_13161	Alphaproteobacteria	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Hyphomicrobiaceae	Pedomicrobium	unclassified
OTU_13164	Alphaproteobacteria	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	unclassified	unclassified
OTU_13165	Alphaproteobacteria	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	unclassified	unclassified
OTU_13182	Planctomycetes	Bacteria	Planctomycetes	Planctomycetacia	Planctomycetales	Planctomycetaceae	unclassified	unclassified
OTU_13188	unclassified_Bacteria	Bacteria	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified
OTU_13191	BD1_5	Bacteria	BD1_5	unclassified	unclassified	unclassified	unclassified	unclassified
OTU_13199	unclassified_Bacteria	Bacteria	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified
OTU_13200	Gammaproteobacteria	Bacteria	Proteobacteria	Gammaproteobacteria	NKB5	unclassified	unclassified	unclassified
OTU_13202	Firmicutes	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	unclassified
OTU_13206	Betaproteobacteria	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Alcaligenaceae	Derxia	unclassified
OTU_13213	Alphaproteobacteria	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	C2U	unclassified	unclassified
OTU_13214	Verrucomicrobia	Bacteria	Verrucomicrobia	Spartobacteria	Chthoniobacterales	DA101_soil_group	unclassified	unclassified
OTU_13216	Gammaproteobacteria	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Moraxellaceae	Acinetobacter	unclassified
OTU_13221	Betaproteobacteria	Bacteria	Proteobacteria	Betaproteobacteria	Methylophilales	Methylophilaceae	unclassified	unclassified
OTU_13222	Betaproteobacteria	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Comamonadaceae	unclassified	unclassified
OTU_13224	unclassified_Bacteria	Bacteria	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified
OTU_13228	Deinococcus_Thermus	Bacteria	Deinococcus_Thermus	Deinococci	Deinococcales	Deinococcaceae	Deinococcus	unclassified
OTU_13229	Candidate_division_OD1	Bacteria	Candidate_division_OD1	unclassified	unclassified	unclassified	unclassified	unclassified
OTU_13230	Alphaproteobacteria	Bacteria	Proteobacteria	Alphaproteobacteria	unclassified	unclassified	unclassified	unclassified
OTU_13232	Alphaproteobacteria	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	C2U	unclassified	unclassified
OTU_13233	unclassified_Bacteria	Bacteria	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified
OTU_13234	Acidobacteria	Bacteria	Acidobacteria	Holophagae	NS72	unclassified	unclassified	unclassified
OTU_13236	Deltaproteobacteria	Bacteria	Proteobacteria	Deltaproteobacteria	Myxococcales	0319_6G20	unclassified	unclassified
OTU_13243	Chlamydiae	Bacteria	Chlamydiae	Chlamydiae	Chlamydiales	Parachlamydiaceae	Candidatus_Protochlamydia	unclassified
OTU_13244	Gammaproteobacteria	Bacteria	Proteobacteria	Gammaproteobacteria	Legionellales	Legionellaceae	Legionella	Legionella_gresilensis
OTU_13246	Verrucomicrobia	Bacteria	Verrucomicrobia	Opitutae	Opitutales	Opitutaceae	Opitutus	unclassified
OTU_13248	unclassified_Bacteria	Bacteria	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified
OTU_13250	Alphaproteobacteria	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Hyphomicrobiaceae	Pedomicrobium	unclassified
OTU_13252	Bacteroidetes	Bacteria	Bacteroidetes	Cytophagia	Cytophagales	Cytophagaceae	Emticicia	unclassified
OTU_13255	Alphaproteobacteria	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Hyphomicrobiaceae	Pedomicrobium	unclassified
OTU_13256	Acidobacteria	Bacteria	Acidobacteria	Acidobacteria	Order_Incertae_Sedis	Family_Incertae_Sedis	Bryobacter	unclassified
OTU_13257	Actinobacteria	Bacteria	Actinobacteria	Acidimicrobiia	Acidimicrobiales	Candidatus_Microthrix	unclassified	unclassified
OTU_13258	Candidate_division_OD1	Bacteria	Candidate_division_OD1	unclassified	unclassified	unclassified	unclassified	unclassified
OTU_13260	Acidobacteria	Bacteria	Acidobacteria	Holophagae	43F_1404R	unclassified	unclassified	unclassified
OTU_13267	Alphaproteobacteria	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Methylobacteriaceae	Methylobacterium	unclassified
OTU_13269	Candidate_division_OP11	Bacteria	Candidate_division_OP11	unclassified	unclassified	unclassified	unclassified	unclassified
OTU_13277	Alphaproteobacteria	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	MNG7	unclassified	unclassified
OTU_13288	Gammaproteobacteria	Bacteria	Proteobacteria	Gammaproteobacteria	Legionellales	Legionellaceae	unclassified	unclassified
OTU_13290	Gammaproteobacteria	Bacteria	Proteobacteria	Gammaproteobacteria	Xanthomonadales	Sinobacteraceae	unclassified	unclassified
OTU_13291	Alphaproteobacteria	Bacteria	Proteobacteria	Alphaproteobacteria	Caulobacterales	Hyphomonadaceae	Hirschia	unclassified
OTU_13292	Betaproteobacteria	Bacteria	Proteobacteria	Betaproteobacteria	unclassified	unclassified	unclassified	unclassified
OTU_13294	Actinobacteria	Bacteria	Actinobacteria	Actinobacteria	Propionibacteriales	Propionibacteriaceae	unclassified	unclassified
OTU_13299	Planctomycetes	Bacteria	Planctomycetes	Phycisphaerae	WD2101_soil_group	unclassified	unclassified	unclassified
OTU_13304	unclassified_Bacteria	Bacteria	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified
OTU_13311	Verrucomicrobia	Bacteria	Verrucomicrobia	Opitutae	vadinHA64	unclassified	unclassified	unclassified
OTU_13317	unclassified_Bacteria	Bacteria	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified
OTU_13334	WCHB1_60	Bacteria	WCHB1_60	unclassified	unclassified	unclassified	unclassified	unclassified
OTU_13342	Actinobacteria	Bacteria	Actinobacteria	Acidimicrobiia	Acidimicrobiales	Iamiaceae	Iamia	unclassified
OTU_13343	Alphaproteobacteria	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Methylocystaceae	Methylocystis	unclassified
OTU_13346	Actinobacteria	Bacteria	Actinobacteria	Actinobacteria	Pseudonocardiaceae	unclassified	unclassified	unclassified
OTU_13358	Alphaproteobacteria	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Hyphomicrobiaceae	Hyphomicrobium	unclassified
OTU_13359	Actinobacteria	Bacteria	Actinobacteria	Actinobacteria	Micrococcales	Brevibacteriaceae	Brevibacterium	Brevibacterium_sp__LB11
OTU_13362	Gammaproteobacteria	Bacteria	Proteobacteria	Gammaproteobacteria	34P16	unclassified	unclassified	unclassified
OTU_13363	Deltaproteobacteria	Bacteria	Proteobacteria	Deltaproteobacteria	Myxococcales	JG37_AG_15	unclassified	unclassified
OTU_13366	Firmicutes	Bacteria	Firmicutes	Bacilli	Bacillales	unclassified	unclassified	unclassified
OTU_13368	unclassified_Bacteria	Bacteria	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified
OTU_13373	Deinococcus_Thermus	Bacteria	Deinococcus_Thermus	Deinococci	Deinococcales	Deinococcaceae	Deinococcus	unclassified
OTU_13374	Planctomycetes	Bacteria	Planctomycetes	Planctomycetacia	Planctomycetales	Planctomycetaceae	Rhodopirellula	unclassified
OTU_13375	Firmicutes	Bacteria	Firmicutes	Bacilli	Lactobacillales	Aerococcaceae	Lactobacillales_bacterium_1247	unclassified
OTU_13381	unclassified_Bacteria	Bacteria	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified
OTU_13383	Betaproteobacteria	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Burkholderia	unclassified
OTU_13384	ARKDMS_49	Bacteria	Proteobacteria	ARKDMS_49	unclassified	unclassified	unclassified	unclassified
OTU_13385	Gammaproteobacteria	Bacteria	Proteobacteria	Gammaproteobacteria	Legionellales	Legionellaceae	Legionella	unclassified
OTU_13392	Firmicutes	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Virgibacillus	Virgibacillus_sp__AN_17
OTU_13393	unclassified_Bacteria	Bacteria	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified
OTU_13399	Tenericutes	Bacteria	Tenericutes	Mollicutes	Mycoplasmatales	Mycoplasmataceae	Candidatus_Lumbricincola	unclassified
OTU_13400	unclassified_Bacteria	Bacteria	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified
OTU_13401	Alphaproteobacteria	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	unclassified	unclassified
OTU_13404	Alphaproteobacteria	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Methylocystaceae	Methylocystis	unclassified
OTU_13410	Betaproteobacteria	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Alcaligenaceae	Derxia	unclassified
OTU_13411	Planctomycetes	Bacteria	Planctomycetes	Planctomycetacia	Planctomycetales	Planctomycetaceae	Gemmata	unclassified
OTU_13437	Gammaproteobacteria	Bacteria	Proteobacteria	Gammaproteobacteria	Legionellales	Legionellaceae	Legionella	Legionella_quateirensis
OTU_13438	unclassified_Bacteria	Bacteria	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified
OTU_13451	Candidate_division_SR1	Bacteria	Candidate_division_SR1	unclassified	unclassified	unclassified	unclassified	unclassified
OTU_13453	Bacteroidetes	Bacteria	Bacteroidetes	Flavobacteria	Flavobacteriales	Flavobacteriaceae	Flavobacterium	Flavobacterium_resistens
OTU_13457	unclassified_Bacteria	Bacteria	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified
OTU_13461	Verrucomicrobia	Bacteria	Verrucomicrobia	Verrucomicrobiae	Verrucomicrobiales	Verrucomicrobiaceae	unclassified	unclassified
OTU_13464	Planctomycetes	Bacteria	Planctomycetes	Planctomycetacia	Planctomycetales	Planctomycetaceae	Rhodopirellula	unclassified
OTU_13466	Gammaproteobacteria	Bacteria	Proteobacteria	Gammaproteobacteria	Xanthomonadales	Xanthomonadaceae	unclassified	unclassified
OTU_13469	unclassified_Bacteria	Bacteria	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified
OTU_13470	Alphaproteobacteria	Bacteria	Proteobacteria	Alphaproteobacteria	Caulobacterales	Hyphomonadaceae	unclassified	unclassified
OTU_13472	Alphaproteobacteria	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	unclassified	unclassified
OTU_13477	Alphaproteobacteria	Bacteria	Proteobacteria	Alphaproteobacteria	Caulobacterales	Hyphomonadaceae	unclassified	unclassified
OTU_13478	Gammaproteobacteria	Bacteria	Proteobacteria	Gammaproteobacteria	BD72BR169	unclassified	unclassified	unclassified
OTU_13486	Gammaproteobacteria	Bacteria	Proteobacteria	Gammaproteobacteria	Legionellales	Legionellaceae	Legionella	unclassified
OTU_13490	Gammaproteobacteria	Bacteria	Proteobacteria	Gammaproteobacteria	NKB5	unclassified	unclassified	unclassified
OTU_13493	unclassified_Proteobacteria	Bacteria	Proteobacteria	unclassified	unclassified	unclassified	unclassified	unclassified
OTU_13494	Chlamydiae	Bacteria	Chlamydiae	Chlamydiae	Chlamydiales	Parachlamydiaceae	Neochlamydia	unclassified
OTU_13503	Planctomycetes	Bacteria	Planctomycetes	Planctomycetacia	Planctomycetales	Planctomycetaceae	Planctomyces	unclassified
OTU_13509	unclassified_Proteobacteria	Bacteria	Proteobacteria	unclassified	unclassified	unclassified	unclassified	unclassified
OTU_13511	Chlamydiae	Bacteria	Chlamydiae	Chlamydiae	Chlamydiales	unclassified	unclassified	unclassified
OTU_13512	Bacteroidetes	Bacteria	Bacteroidetes	Cytophagia	Cytophagales	Cytophagaceae	unclassified	unclassified
OTU_13513	unclassified_Proteobacteria	Bacteria	Proteobacteria	unclassified	unclassified	unclassified	unclassified	unclassified
OTU_13520	Deltaproteobacteria	Bacteria	Proteobacteria	Deltaproteobacteria	Myxococcales	unclassified	unclassified	unclassified
OTU_13522	unclassified_Bacteria	Bacteria	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified
OTU_13529	TA18	Bacteria	Proteobacteria	TA18	unclassified	unclassified	unclassified	unclassified
OTU_13535	Alphaproteobacteria	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	wr0007	unclassified	unclassified
OTU_13536	unclassified_Bacteria	Bacteria	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified
OTU_13538	unclassified_Proteobacteria	Bacteria	Proteobacteria	unclassified	unclassified	unclassified	unclassified	unclassified
OTU_13540	Betaproteobacteria	Bacteria	Proteobacteria	Betaproteobacteria	Nitrosomonadales	Nitrosomonadaceae	unclassified	unclassified
OTU_13548	Alphaproteobacteria	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Methylocystaceae	Methylocystis	unclassified
OTU_13552	Alphaproteobacteria	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	C2U	unclassified	unclassified
OTU_13554	Alphaproteobacteria	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	Holosporaceae	Holospora	unclassified
OTU_13561	Actinobacteria	Bacteria	Actinobacteria	Actinobacteria	PeM15	unclassified	unclassified	unclassified
OTU_13563	unclassified_Bacteria	Bacteria	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified
OTU_13565	unclassified_Proteobacteria	Bacteria	Proteobacteria	unclassified	unclassified	unclassified	unclassified	unclassified
OTU_13571	Alphaproteobacteria	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	unclassified	unclassified
OTU_13575	Gammaproteobacteria	Bacteria	Proteobacteria	Gammaproteobacteria	Legionellales	Legionellaceae	Legionella	unclassified
OTU_13579	Deltaproteobacteria	Bacteria	Proteobacteria	Deltaproteobacteria	Myxococcales	0319_6G20	unclassified	unclassified
OTU_13582	Firmicutes	Bacteria	Firmicutes	Clostridia	Clostridiales	Family_XI_Incertae_Sedis	Tissierella	unclassified
OTU_13585	Betaproteobacteria	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Comamonadaceae	unclassified	unclassified
OTU_13590	Alphaproteobacteria	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	SM2D12	unclassified	unclassified
OTU_13591	Alphaproteobacteria	Bacteria	Proteobacteria	Alphaproteobacteria	unclassified	unclassified	unclassified	unclassified
OTU_13592	Betaproteobacteria	Bacteria	Proteobacteria	Betaproteobacteria	B1_7BS	unclassified	unclassified	unclassified
OTU_13594	unclassified_Bacteria	Bacteria	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified
OTU_13598	Alphaproteobacteria	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	Holosporaceae	Holospora	unclassified
OTU_13600	Deltaproteobacteria	Bacteria	Proteobacteria	Deltaproteobacteria	Bdellovibrionales	Bacteriovoraceae	unclassified	unclassified
OTU_13605	Actinobacteria	Bacteria	Actinobacteria	Acidimicrobiia	Acidimicrobiales	Acidimicrobiaceae	unclassified	unclassified
OTU_13610	Actinobacteria	Bacteria	Actinobacteria	Actinobacteria	Frankiales	Sporichthyaceae	Actinomycetales_bacterium_Gsoil_1632	unclassified
OTU_13611	Betaproteobacteria	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Alcaligenaceae	unclassified	unclassified
OTU_13622	unclassified_Bacteria	Bacteria	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified
OTU_13623	Gammaproteobacteria	Bacteria	Proteobacteria	Gammaproteobacteria	Legionellales	Legionellaceae	Legionella	unclassified
OTU_13624	unclassified_Bacteria	Bacteria	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified
OTU_13638	Alphaproteobacteria	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	Holosporaceae	Holospora	unclassified
OTU_13640	Actinobacteria	Bacteria	Actinobacteria	Acidimicrobiia	Acidimicrobiales	Acidimicrobiaceae	unclassified	unclassified
OTU_13645	Alphaproteobacteria	Bacteria	Proteobacteria	Alphaproteobacteria	Caulobacterales	Hyphomonadaceae	unclassified	unclassified
OTU_13646	Gammaproteobacteria	Bacteria	Proteobacteria	Gammaproteobacteria	NKB5	unclassified	unclassified	unclassified
OTU_13649	Planctomycetes	Bacteria	Planctomycetes	Planctomycetacia	Planctomycetales	Planctomycetaceae	Pirellula	unclassified
OTU_13650	Chlorobi	Bacteria	Chlorobi	Chlorobia	Chlorobiales	OPB56	unclassified	Chlorobi_group_bacterium
OTU_13651	unclassified_Proteobacteria	Bacteria	Proteobacteria	unclassified	unclassified	unclassified	unclassified	unclassified
OTU_13654	Firmicutes	Bacteria	Firmicutes	Bacilli	Lactobacillales	unclassified	unclassified	unclassified
OTU_13656	Actinobacteria	Bacteria	Actinobacteria	Acidimicrobiia	Acidimicrobiales	Acidimicrobiaceae	unclassified	unclassified
OTU_13663	Chlamydiae	Bacteria	Chlamydiae	Chlamydiae	Chlamydiales	Parachlamydiaceae	Neochlamydia	unclassified
OTU_13669	Gammaproteobacteria	Bacteria	Proteobacteria	Gammaproteobacteria	Legionellales	Coxiellaceae	Coxiella	unclassified
OTU_13671	unclassified_Bacteria	Bacteria	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified
OTU_13687	Alphaproteobacteria	Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	DSSF69	unclassified	unclassified
OTU_13692	Alphaproteobacteria	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Phyllobacteriaceae	unclassified	unclassified
OTU_13698	unclassified_Bacteria	Bacteria	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified
OTU_13703	Actinobacteria	Bacteria	Actinobacteria	Actinobacteria	unclassified	unclassified	unclassified	unclassified
OTU_13707	Alphaproteobacteria	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	unclassified	unclassified	unclassified
OTU_13710	Firmicutes	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	Bacillus_sp__L_bf_R2A_30_3
OTU_13711	SM2F11	Bacteria	SM2F11	unclassified	unclassified	unclassified	unclassified	unclassified
OTU_13721	Bacteroidetes	Bacteria	Bacteroidetes	Sphingobacteria	Sphingobacteriales	Chitinophagaceae	Segetibacter	unclassified
OTU_13725	Deltaproteobacteria	Bacteria	Proteobacteria	Deltaproteobacteria	Myxococcales	0319_6G20	unclassified	unclassified
OTU_13733	Gammaproteobacteria	Bacteria	Proteobacteria	Gammaproteobacteria	NKB5	unclassified	unclassified	unclassified
OTU_13735	Alphaproteobacteria	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Palleronia	unclassified
OTU_13737	Gammaproteobacteria	Bacteria	Proteobacteria	Gammaproteobacteria	Legionellales	Coxiellaceae	Aquicella	unclassified
OTU_13743	Alphaproteobacteria	Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Sandarakinorhabdus	unclassified
OTU_13744	Verrucomicrobia	Bacteria	Verrucomicrobia	Verrucomicrobiae	Verrucomicrobiales	Verrucomicrobiaceae	unclassified	unclassified
OTU_13745	Gammaproteobacteria	Bacteria	Proteobacteria	Gammaproteobacteria	Legionellales	Legionellaceae	Legionella	Legionella_shakespearei
OTU_13749	unclassified_Bacteria	Bacteria	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified
OTU_13753	Deltaproteobacteria	Bacteria	Proteobacteria	Deltaproteobacteria	Bdellovibrionales	Bacteriovoraceae	unclassified	unclassified
OTU_13755	Bacteroidetes	Bacteria	Bacteroidetes	Sphingobacteria	Sphingobacteriales	Chitinophagaceae	Segetibacter	unclassified
OTU_13758	Chlamydiae	Bacteria	Chlamydiae	Chlamydiae	Chlamydiales	Parachlamydiaceae	Candidatus_Protochlamydia	Candidatus_Protochlamydia_sp__CRIB40
OTU_13763	Betaproteobacteria	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Comamonadaceae	Hydrogenophaga	unclassified
OTU_13764	Alphaproteobacteria	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	C2U	unclassified	unclassified
OTU_13768	Deltaproteobacteria	Bacteria	Proteobacteria	Deltaproteobacteria	Myxococcales	0319_6G20	unclassified	unclassified
OTU_13770	Alphaproteobacteria	Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Sphingomonas	unclassified
OTU_13771	Alphaproteobacteria	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	unclassified	unclassified
OTU_13776	Firmicutes	Bacteria	Firmicutes	Bacilli	Bacillales	unclassified	unclassified	unclassified
OTU_13777	Planctomycetes	Bacteria	Planctomycetes	Planctomycetacia	Planctomycetales	Planctomycetaceae	Gemmata	unclassified
OTU_13779	Gammaproteobacteria	Bacteria	Proteobacteria	Gammaproteobacteria	Legionellales	Legionellaceae	Legionella	unclassified
OTU_13782	Chlamydiae	Bacteria	Chlamydiae	Chlamydiae	Chlamydiales	Simkaniaceae	unclassified	unclassified
OTU_13785	Alphaproteobacteria	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Paracoccus	unclassified
OTU_13791	Actinobacteria	Bacteria	Actinobacteria	Actinobacteria	Propionibacteriales	Propionibacteriaceae	Jiangella	unclassified
OTU_13794	Alphaproteobacteria	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Hyphomicrobiaceae	Pedomicrobium	unclassified
OTU_13798	Gammaproteobacteria	Bacteria	Proteobacteria	Gammaproteobacteria	NKB5	unclassified	unclassified	unclassified
OTU_13802	Alphaproteobacteria	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Rhizobiaceae	Rhizobium	unclassified
OTU_13805	Alphaproteobacteria	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	C2U	unclassified	unclassified
OTU_13810	Alphaproteobacteria	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Rhodospirillaceae	Roseospirillum	unclassified
OTU_13812	Actinobacteria	Bacteria	Actinobacteria	Acidimicrobiia	Acidimicrobiales	Iamiaceae	Iamia	unclassified
OTU_13819	Betaproteobacteria	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Comamonadaceae	Brachymonas	unclassified
OTU_13821	Planctomycetes	Bacteria	Planctomycetes	Planctomycetacia	Planctomycetales	Planctomycetaceae	unclassified	unclassified
OTU_13824	Deltaproteobacteria	Bacteria	Proteobacteria	Deltaproteobacteria	Myxococcales	0319_6G20	unclassified	unclassified
OTU_13827	Alphaproteobacteria	Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	unclassified	unclassified
OTU_13829	Betaproteobacteria	Bacteria	Proteobacteria	Betaproteobacteria	unclassified	unclassified	unclassified	unclassified
OTU_13831	Acidobacteria	Bacteria	Acidobacteria	Holophagae	CA002	Holophaga_sp__oral_clone_CA002	unclassified	unclassified
OTU_13833	Alphaproteobacteria	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	unclassified	unclassified	unclassified
OTU_13838	Gammaproteobacteria	Bacteria	Proteobacteria	Gammaproteobacteria	Legionellales	Coxiellaceae	Rickettsiella	unclassified
OTU_13840	Bacteroidetes	Bacteria	Bacteroidetes	Flavobacteria	Flavobacteriales	Flavobacteriaceae	Flavobacterium	unclassified
OTU_13844	unclassified_Proteobacteria	Bacteria	Proteobacteria	unclassified	unclassified	unclassified	unclassified	unclassified
OTU_13848	Actinobacteria	Bacteria	Actinobacteria	Actinobacteria	Corynebacteriales	Nocardiaceae	Gordonia	Gordonia_malaquae
OTU_13849	Candidate_division_WS3	Bacteria	Candidate_division_WS3	unclassified	unclassified	unclassified	unclassified	unclassified
OTU_13850	Alphaproteobacteria	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	F0723	alpha_proteobacterium_KC_IT_H2	unclassified
OTU_13864	Gammaproteobacteria	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	unclassified
OTU_13865	Alphaproteobacteria	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	JG35_K1_AG5	unclassified	unclassified
