gene,Atha_WT-Col-0_sl_FLT_Rep1_G1S1,Atha_WT-Col-0_sl_FLT_Rep2_G1S2,Atha_WT-Col-0_sl_FLT_Rep3_G1S3,Atha_WT-Col-0_sl_GC_Rep1_G2S1,Atha_WT-Col-0_sl_GC_Rep2_G2S2,Atha_WT-Col-0_sl_GC_Rep3_G2S3,Atha_WT-Col-0_sl_LN2_Rep1_n2-1,Atha_WT-Col-0_sl_LN2_Rep2_n2-2,Atha_WT-Col-0_sl_LN2_Rep3_n2-3,Atha_WT-Col-0_sl_RNAlat_Rep1_rl1,Atha_WT-Col-0_sl_RNAlat_Rep2_rl2,Atha_WT-Col-0_sl_RNAlat_Rep3_rl3
AT5G50995,0,0,0,0,0,0,0,0,0,0,0,0
AT5G51000,0,1,1,1,1,0,0,0,1,0,0,1
AT5G51010,1438,1148,1281,600,1090,1036,358,271,233,298,304,416
AT5G51020,646,491,470,443,541,582,179,196,124,172,181,241
AT5G51030,3,4,8,4,12,4,2,2,3,2,4,3
AT5G51040,756,392,395,447,435,505,270,199,159,176,341,270
AT5G51050,486,274,251,233,192,262,81,82,65,69,105,151
AT5G51055,0,0,0,0,0,0,0,0,0,0,0,0
AT5G51060,388,259,301,333,561,550,288,391,258,164,250,421
AT5G51070,2097,1526,1717,2289,2710,2953,1276,1270,1178,928,2497,1738
AT5G51080,68,54,39,58,79,77,22,27,23,31,38,40
AT5G51090,0,0,0,0,0,0,0,0,0,0,0,0
AT5G51100,816.99,610,584,235,451,408,218,143,111,134,117,158
AT5G51105,10,18,12,33,79,64,20,33,24,13,14,46
AT5G51110,2308,1796,1881,1360,1669,2088,506,360,319,374,320,489
AT5G51120,760,343,419,436,537,522,223,242,180,193,269,274
AT5G51130,132,62,73,125,120,122,60,42,42,51,75,77
AT5G51140,510,308,293,182,292,316,132,122,117,119,155,187
AT5G51150,713,514,544,709,812,1016,255,289,222,248,284,428
AT5G51160,61,66,83,169,171,210,35,91,59,85,114,108
AT5G51170,133,71,88,139,113,155,54,44,35,51,62,91
AT5G51174,1,1,0,0,1,0,1,0,1,1,0,1
AT5G51180,1166,954,932,781,1225,1248,494,827,1153,481,976,812
AT5G51190,456,470,387,244,607,501,280,588,912,298,697,531
AT5G51195,0,2,2,2,1,0,0,0,0,0,1,1
AT5G51200,2450,1505,1503,1201,1995,2054,1001,982,813,790,1151,1260
AT5G51210,2410,1160,1097,699,847,1077,376,435,367,489,459,551
AT5G51220,329,214,193,129,198,218,104,104,67,81,118,141
AT5G51230,957,447,454,533,559,633,322,258,209,200,328,366
AT5G51250,8,3,8,11,2,6,0,0,1,3,2,1
AT5G51260,73,71,87,101,142,117,50,61,50,46,54,61
AT5G51270,122,52,61,104,102,96,63,65,34,28,52,82
AT5G51280,645,362,384,424,447,542,228,242,161,197,269,308
AT5G51290,357,253,273,413,395,467,173,239,169,156,344,231
AT5G51300,2330,1445,1803,1609,2213,2378,835,690,591,820,1211,1273
AT5G51310,19,8,13,41,32,32,2,9,11,9,2,4
AT5G51330,2,1,8,19,17,9,2,1,0,4,5,3
AT5G51340,928,557,619,678,851,964,354,353,250,350,494,476
AT5G51350,461,325,332,228,395,387,178,236,144,166,230,305
AT5G51360,0,0,0,0,1,0,0,0,0,0,0,0
AT5G51370,91,47,65,111,98,123,43,25,25,46,41,54
AT5G51380,118,102,110,102,165,155,72,55,31,59,64,78
AT5G51390,57,62,72,126,137,155,20,56,27,51,70,82
AT5G51400,1546,971,947,1014,1143,1541,443,567,405,473,554,626
AT5G51410,694,417,431,645,590,763,267,264,183,221,378,457
AT5G51420,20,23,37,17,34,29,0,2,1,9,27,20
AT5G51430,1531,705,834,976,1016,1175,537,516,424,403,555,604
AT5G51440,476,282,260,223,178,263,478,58,135,167,453,636
AT5G51450,405,272,274,311,317,459,169,160,133,147,217,274
AT5G51451,11,5,10,10,17,9,5,3,2,4,12,19
AT5G51460,535,464,471,263,258,325,93,86,84,75,261,177
AT5G51465,3,2,2,3,0,1,5,2,7,1,77,0
AT5G51470,10,12,11,10,32,11,4,3,3,3,11,5
AT5G51480,4,2,6,1,8,5,2,1,2,1,1,7
AT5G51490,23,18,21,58,61,42,15,12,5,13,12,27
AT5G51500,51,11,28,76,88,94,28,20,9,18,26,24
AT5G51510,272,195,196,141,285,310,104,130,93,95,144,168
AT5G51520,9,11,9,25,22,16,5,2,2,6,2,4
AT5G51530,8,5,11,14,8,7,1,0,1,0,0,1
AT5G51540,136,90,89,75,83,135,70,42,23,40,49,59
AT5G51545,568,398,422,197,356,359,107,108,102,122,106,140
AT5G51550,1930,1281,1342,816,1265,1158,449,490,413,513,531,634
AT5G51560,834,533,518,297,427,472,256,217,178,176,178,242
AT5G51570,833,438,417,480,630,777,299,331,305,279,673,391
AT5G51580,50,73,71,90,124,121,24,64,45,37,35,35
AT5G51585,41,37,58,71,70,88,31,32,24,17,32,23
AT5G51590,251,106,122,214,252,279,69,85,69,111,139,153
AT5G51600,341,139,137,228,242,300,52,105,65,106,84,116
AT5G51610,2,1,5,0,0,0,0,0,0,0,0,0
AT5G51620,37.05,157,184.11,23,203,133,49,71,54.55,64.58,125,104.25
AT5G51630,215,499,424,175,917,576,266,377,316,277,699,645
AT5G51640,229,267,246,165,398,382,179,273,206,150,315,264
AT5G51650,0,0,2,0,0,0,0,0,0,0,0,0
AT5G51660,1005,604,612,495,617,750,290,271,205,256,374,383
AT5G51670,924,560,606,597,1049,1025,573,645,497,335,460,532
AT5G51680,309,292,256,250,428,423,144,220,180,131,187,217
AT5G51690,601,449,480,484,727,685,234,282,215,224,313,358
AT5G51700,309,232,230,195,289,359,111,101,84,103,149,131
AT5G51710,186,124,99,79,153,160,85,154,79,68,111,105
AT5G51720,25,14,8,5,12,14,11,14,2,3,14,9
AT5G51730,127,82,114,58,148,137,51,42,35,50,56,64
AT5G51740,236,146,171,183,229,260,106,120,113,99,146,177
AT5G51750,6767,4649,4923,3737,2893,4503,724,708,553,693,578,1068
AT5G51760,364,20,34,270,27,142,50,23,20,79,29,81
AT5G51770,250,190,215,271,277,283,121,115,98,103,224,161
AT5G51780,252,209,213,281,497,467,246,375,229,230,281,359
AT5G51790,60,36,37,45,128,103,96,208,110,77,88,107
AT5G51795,13,11,13,21,27,18,3,10,6,11,16,16
AT5G51800,26,27,33,38,52,24,8,5,1,12,12,14
AT5G51810,97,58,58,26,59,51,87,56,35,35,39,62
AT5G51820,3565,1894,2084,1407,1605,1896,532,394,353,506,450,793
AT5G51830,521,359,373,435,533,575,379,223,249,132,561,220
AT5G51840,431,249,322,221,326,316,115,126,82,89,123,151
AT5G51845,0,0,0,0,1,0,0,0,0,0,0,0
AT5G51850,133,81,68,82,114,128,15,28,21,40,61,59
AT5G51860,0,0,0,0,0,0,0,0,0,0,0,0
AT5G51870,0,0,0,0,1,0,1,1,1,0,0,0
AT5G51880,330,218,233,195,254,324,119,145,99,97,143,151
AT5G51890,92,66,139,46,245,164,301,497,343,96,340,191
AT5G51900,1,5,10,6,2,2,0,0,0,0,3,1
AT5G51910,144,134,121,107,131,134,33,28,23,44,38,51
AT5G51915,3,2,5,5,6,0,0,3,1,1,2,4
AT5G51920,23,23,45,54,84,88,19,23,22,44,62,54
AT5G51930,15,3,6,25,17,21,2,0,1,5,4,3
AT5G51940,517,258,284,270,331,399,191,152,119,149,206,215
AT5G51950,2,10,9,12,14,7,3,2,3,5,5,2
AT5G51960,209,171,132,105,164,169,63,76,45,50,59,89
AT5G51970,2303,1040,1058,2936,2182,3217,709,1044,673,969,1031,1291
AT5G51980,336,281,338,230,347,316,137,134,83,117,205,224
AT5G51990,27,24,32,12,44,17,1,3,2,9,17,57
AT5G52000,7,6,5,6,5,2,2,0,0,2,8,7
AT5G52010,430,320,370,278,332,328,102,97,78,100,104,150
AT5G52020,12,17,32,20,46,31,10,22,11,16,104,16
AT5G52030,124,60,71,84,64,69,30,32,26,42,25,53
AT5G52040,2862,1424,1629,2330,1804,2526,839,826,615,727,1046,1152
AT5G52045,11,20,18,6,21,22,10,9,9,4,7,17
AT5G52050,24,43,58,52,77,40,9,12,7,45,136,55
AT5G52060,2002,1577,1421,1498,1694,1661,586,974,688,651,595,925
AT5G52070,348,137,127,310,174,282,111,118,86,110,193,194
AT5G52080,0,0,0,0,0,0,0,0,0,0,0,0
AT5G52090,6.8,5.78,8,8,14.63,5,1,0,1,1.32,1.88,3
AT5G52100,382,289,317,241,295,381,77,53,71,93,86,125
AT5G52110,163.85,137,119,69,131,114,38,41.87,33,47,55.97,66
AT5G52115,1,0,0,3,1,1,0,0,0,2,0,0
AT5G52120,22,26,26,62,98,133,35,73,42,74,59,80
AT5G52130,0,0,0,0,0,0,0,0,0,0,0,0
AT5G52140,0,0,0,0,1,0,0,0,0,0,0,0
AT5G52150,0,0,0,0,0,0,0,0,0,0,0,0
AT5G52155,0,0,0,0,0,0,0,0,0,0,0,0
AT5G52160,0,0,1,4,1,4,0,0,0,1,0,0
AT5G52170,778,596,647,554,696,731,271,234,193,225,272,344
AT5G52180,463,297,284,231,351,341,123,146,116,148,170,236
AT5G52190,258,259,283,290,340,365,102,88,67,92,111,111
AT5G52200,443,234,274,205,372,412,180,201,132,132,281,236
AT5G52210,227,171,180,173,203,235,100,124,65,74,145,157
AT5G52220,17,14,15,7,13,6,3,4,3,3,0,6
AT5G52230,432,239,249,323,281,366,125,117,87,129,168,171
AT5G52240,3005,1787,1939,2037,2291,2963,1104,1458,1053,919,1677,1431
AT5G52250,121,122,107,114,188,150,75,83,72,72,128,114
AT5G52260,11,5,15,11,8,17,9,19,10,12,10,28
AT5G52270,1,0,3,0,2,2,4,3,7,0,2,2
AT5G52280,1260,778,676,750,1214,1127,561,767,465,374,321,536
AT5G52290,52,33,33,17,50,25,7,7,1,15,23,39
AT5G52300,793,56,108,278,196,264,331,103,67,672,473,1151
AT5G52310,1036,1037,1015,326,1447,919,65,180,70,1179,1833,6353
AT5G52320,86,53,35,70,44,58,13,70,59,36,139,53
AT5G52330,19,9,10,23,25,20,13,19,10,8,14,22
AT5G52340,5,2,5,0,2,1,0,2,0,0,0,2
AT5G52350,1,0,1,2,0,1,0,0,0,1,0,0
AT5G52355,0,0,0,0,0,0,0,0,0,0,0,0
AT5G52360,0,2,1,4,3,2,0,0,1,1,1,0
AT5G52370,377,185,224,252,279,345,78,72,67,116,103,131
AT5G52380,159,75,87,75,123,128,48,43,35,34,60,69
AT5G52390,35,6,4,22,17,15,20,14,16,17,19,12
AT5G52400,3,8,4,5,4,3,4,0,3,4,235,9
AT5G52410,168,91,107,90,126,115,49,50,42,60,85,84
AT5G52420,768,425,408,391,466,565,233,121,95,233,216,394
AT5G52430,679,458,443,443,463,584,246,265,176,175,253,258
AT5G52440,2923,2251,2239,2223,2343,2917,547,438,356,583,526,786
AT5G52450,290,185,214,215,211,252,109,68,73,76,476,163
AT5G52460,0,2,1,0,0,0,1,0,0,0,0,0
AT5G52470,2842,1626,1736,3308,2202,3536,921,643,543,775,1060,1052
AT5G52471,0,0,0,0,0,0,0,0,0,0,0,0
AT5G52480,4,2,6,5,6,6,0,0,0,4,1,2
AT5G52490,4,6,9,12,12,11,0,1,0,4,4,3
AT5G52495,0,0,0,0,0,0,0,0,0,0,0,0
AT5G52500,3,5,8,15,9,1,2,0,1,4,2,5
AT5G52510,1390,1224,1217,1922,1870,1942,684,831,660,726,1085,1288
AT5G52520,1295,974,1007,542,758,873,404,278,216,210,270,331
AT5G52530,1719,1081,1173,1519,1770,1889,813,745,571,689,1138,1189
AT5G52540,830,291,279,309,332,431,168,171,141,164,190,201
AT5G52545,69,40,38,60,57,77,19,20,14,20,31,28
AT5G52547,7,8,2,4,4,7,2,4,0,3,3,5
AT5G52550,527,424,436,555,592,730,242,253,241,266,348,459
AT5G52560,982,720,758,404,809,747,435,495,351,261,328,491
AT5G52570,210,229,277,160,199,241,59,54,47,68,126,122
AT5G52580,1504,730,727,910,953,1266,622,614,413,383,585,630
AT5G52600,17,11,18,14,12,11,7,2,4,6,4,9
AT5G52605,0,0,0,0,0,1,0,0,0,0,1,0
AT5G52610,2,6,2,4,12,4,0,0,1,0,4,0
AT5G52620,1,0,3,3,4,1,0,1,0,0,1,0
AT5G52630,100,69,68,104,66,86,26,22,21,30,40,48
AT5G52640,847,601,591,1297,635,1064,831,319,344,534,2133,2075
AT5G52650,3967,2257,2349,2548,2242,2688,910,834,576,768,906,949
AT5G52655,0,0,0,0,0,0,0,0,0,0,0,0
AT5G52660,258,194,194,194,257,291,99,87,60,112,154,239
AT5G52670,63,18,23,53,35,50,16,41,93,8,330,15
AT5G52680,1,0,1,0,1,2,2,2,2,0,21,0
AT5G52690,1,0,2,0,0,0,3,4,1,0,0,0
AT5G52700,0,6,3,6,5,5,2,1,0,3,2,0
AT5G52710,6,2,9,13,9,11,3,11,9,3,18,1
AT5G52720,6,4,6,8,7,11,9,7,29,3,116,2
AT5G52730,0,1,0,1,2,4,0,0,0,1,0,1
AT5G52740,1,7,5,7,4,2,0,0,0,1,4,1
AT5G52750,24,25,29,16,18,26,145,80,193,14,225,32
AT5G52760,1,2,6,2,3,1,13,0,2,1,13,4
AT5G52770,2,1,3,0,3,1,1,0,0,0,0,0
AT5G52780,366,422,442,305,435,441,96,96,65,99,115,137
AT5G52790,120,74,166,236,625,620,177,347,137,102,77,145
AT5G52797,0,0,0,0,0,0,0,0,0,0,0,0
AT5G52800,48,14,10,30,14,28,7,9,5,8,11,18
AT5G52810,282,106,175,239,244,318,62,129,83,86,145,119
AT5G52815,0,0,0,0,0,0,0,0,0,0,0,0
AT5G52820,752,447,448,552,577,754,284,221,168,178,262,309
AT5G52830,189,155,215,222,261,316,68,105,87,62,122,67
AT5G52840,2493,1135,1152,1010,1409,1647,681,593,507,520,667,695
AT5G52850,93,53,52,53,61,54,26,32,10,24,35,28
AT5G52860,129,85,109,62,83,74,9,15,10,37,39,34
AT5G52870,158,238,306,138,449,296,77,144,101,122,224,231
AT5G52880,255,117,106,94,162,217,71,98,58,73,102,119
AT5G52882,2205,1468,1389,1511,1995,2160,955,1176,871,468,721,754
AT5G52890,84,48,48,46,47,73,29,23,20,23,16,20
AT5G52900,167,136,113,61,70,98,60,47,49,38,49,60
AT5G52910,306,108,126,82,112,134,69,53,44,40,45,77
AT5G52920,4256,1982,2089,1964,2980,3350,1400,1439,1177,1284,1567,1975
AT5G52930,5,7,12,14,22,10,11,3,2,2,5,1
AT5G52940,0,5,13,12,10,5,20,1,2,0,4,1
AT5G52950,164,98,113,73,115,85,52,37,31,44,43,62
AT5G52960,550,498,474,350,512,537,147,111,81,113,118,160
AT5G52965,2.77,2,0,3,4,2.98,0,0,0,0,0,0
AT5G52970,421,411,397,167,311,291,88,103,58,95,94,130
AT5G52975,3.23,4,0,2,3,4.02,0,0,3,0,5,2
AT5G52980,411,235,207,212,340,417,122,150,111,124,207,199
AT5G52990,510,227,231,397,274,387,133,173,135,104,116,142
