gene,Atha_WT-Col-0_sl_FLT_Rep1_G1S1,Atha_WT-Col-0_sl_FLT_Rep2_G1S2,Atha_WT-Col-0_sl_FLT_Rep3_G1S3,Atha_WT-Col-0_sl_GC_Rep1_G2S1,Atha_WT-Col-0_sl_GC_Rep2_G2S2,Atha_WT-Col-0_sl_GC_Rep3_G2S3
AT5G40390,1156.382969,1935.436171,1795.74245,1008.511662,1410.038763,1059.775214
AT5G40400,62.71851807,56.9432876,50.38901849,53.17023551,42.99643526,38.12657987
AT5G40405,35.24729708,26.79711703,30.50703462,49.31267169,36.13008946,30.77234789
AT5G40410,8.810334645,19.83271858,16.98489463,25.96647916,13.06888923,17.58302395
AT5G40420,2251.530695,297.5502704,280.4219083,1162.913606,564.2025162,817.6566617
AT5G40430,1.08369104,2.642687085,0.824919907,1.631245541,1.886714476,1.132747069
AT5G40440,120.6089866,104.6983355,86.37351241,77.29867926,83.8540447,82.4498517
AT5G40450,7116.111734,8506.987545,8332.604285,16502.35069,17022.37175,17249.84769
AT5G40460,19.70741154,41.71018262,35.02733968,34.14503063,35.60829611,33.44755481
AT5G40470,149.1824816,222.5544898,200.6528603,232.9081836,227.8143297,197.3788544
AT5G40480,724.3461462,623.9731867,670.7386116,521.6216307,536.3315762,543.0610689
AT5G40490,153.4065518,113.1767069,118.1176769,116.0626343,99.28349605,104.5041428
AT5G40500,12.9093017,20.09523137,12.57253569,3.335788612,6.921482323,12.58222617
AT5G40510,64.0442224,69.82986186,112.7625482,130.2025241,172.5664822,150.6070246
AT5G40520,137.8530964,131.702347,132.4384327,124.1652876,121.0202618,109.5627195
AT5G40530,96.29767007,108.2095929,106.8550625,52.91839503,92.79770849,87.74848082
AT5G40540,249.7939801,296.9786319,226.4352895,230.3106821,203.5131758,199.7116523
AT5G40550,57.56299849,70.29346447,69.3863328,45.88829703,61.32750611,57.16718662
AT5G40560,0,2.597892059,1.623980091,2.436885731,2.494562563,0.567037285
AT5G40570,32.53067166,9.67744202,13.18290988,16.3314585,11.94051154,23.78481409
AT5G40580,784.2647017,496.3000001,484.1414127,457.1829201,471.6488512,590.3412774
AT5G40590,374.986516,115.795686,131.3835567,436.7726351,339.5395769,408.6876644
AT5G40595,1.05030869,0,1.714434413,2.470911266,3.851248765,0
AT5G40600,76.63588269,53.47060058,72.059482,42.29340251,50.4926697,67.12282337
AT5G40610,257.1378421,211.8699049,227.8794462,165.6527584,164.5291432,153.6809381
AT5G40630,16.34006604,20.99517669,22.95006393,16.28575241,43.87383192,27.76595049
AT5G40640,79.92139074,58.56125377,65.43602633,98.96627137,65.92504872,61.26201543
AT5G40645,4.226461344,1.822814015,0.851127063,1.644137749,1.918214314,1.69486865
AT5G40650,343.6925362,217.3074106,186.3477939,149.3777076,204.3440151,181.6246397
AT5G40660,399.0898684,318.0314878,316.8952777,353.1743817,266.0281293,295.4654941
AT5G40670,417.5558019,604.6925245,457.3250099,203.906593,440.3802764,381.6057325
AT5G40680,1.095292886,0.868504926,4.070965059,8.941606703,5.62090186,6.236203013
AT5G40690,216.5218051,384.2757331,435.9124479,552.5893921,514.9369858,498.9368233
AT5G40700,35.81836188,27.87618397,29.50623709,28.73459932,43.08859109,35.51693948
AT5G40710,63.84399617,65.64651025,54.09417616,57.34645041,59.34540325,65.75537804
AT5G40720,57.75974986,80.73499891,90.27982382,179.2711964,144.6249968,113.4203381
AT5G40730,1075.116662,3318.646901,2722.297366,1511.023391,3219.284977,2408.340759
AT5G40740,439.8873992,439.2927325,398.4261078,454.8845507,439.3207559,472.5652352
AT5G40760,663.3638363,585.3878874,618.2905269,927.6783689,805.8714452,913.0671253
AT5G40770,884.4301104,643.5190321,727.2828541,655.5004037,625.7658308,684.0783811
AT5G40780,288.4393035,376.0878783,370.8193507,617.5495406,551.469054,617.8574669
AT5G40790,1.642690236,7.818108413,8.143436437,14.63242904,11.86752073,5.102280085
AT5G40800,8.779979411,8.662071104,10.5586111,8.935858027,14.34572742,9.072429176
AT5G40810,1521.587071,1251.025071,1318.381705,1589.739781,1168.560734,1379.387837
AT5G40820,165.0992719,138.3157781,154.4831679,150.9198318,168.5073283,120.1063207
AT5G40830,358.0619733,378.8737546,301.6844568,217.5961883,257.4040121,250.7632672
AT5G40840,72.49420066,71.71109026,44.92328338,105.4729721,75.85295066,75.56646786
AT5G40850,3162.46172,4180.320455,4250.749966,3544.463727,2092.497583,2915.886571
AT5G40860,11.48493645,27.83927153,26.91038611,18.70311626,25.64085327,17.57193626
AT5G40870,318.7807698,297.5435891,307.3961936,243.4463345,287.5409108,284.1610936
AT5G40880,125.1937332,119.1754748,113.1393384,80.50575703,93.99541826,85.31386237
AT5G40890,2031.791949,2100.05925,1784.82605,1846.630594,2313.184757,2046.519689
AT5G40900,0,0.872386246,2.452667816,0.813748433,0.625918844,0.566758267
AT5G40910,344.4078961,322.2839004,366.2157969,378.8827402,361.7473716,346.1816232
AT5G40930,138.1588829,178.8045317,183.1140555,92.041436,189.4763626,129.7436151
AT5G40940,3.287916515,5.20677039,9.76293211,7.314410249,6.867216905,5.102624624
AT5G40950,1137.081393,2524.489456,2438.322155,686.3757984,1473.231628,968.4359382
AT5G40960,20.0696573,31.66684401,37.89614277,28.53753236,52.16251181,41.34930237
AT5G40970,190.1760159,172.0072807,164.5512341,91.74783596,114.021355,127.0317862
AT5G40980,21.66051967,22.04052046,35.49851321,28.55233731,45.92849164,48.13896345
AT5G40990,0,1.732791264,2.437092999,4.874362405,1.247588894,1.701056115
AT5G41000,77.52606646,103.0011958,81.979274,80.38788718,90.17236728,77.17585652
AT5G41010,196.4974093,114.2045707,94.47720709,101.2566101,81.32724549,130.2198612
AT5G41020,210.8332076,206.1699755,250.8218806,253.1979048,305.0011151,266.0072782
AT5G41025,39.69938684,39.28211181,38.41802802,53.18117994,48.10926076,45.26617799
AT5G41030,4.361136232,8.737902573,11.46280492,6.512501082,5.637725537,2.833482749
AT5G41040,141.3369004,141.6462821,166.0546356,307.6677395,481.4450713,402.0949952
AT5G41050,65.61507213,79.19706704,74.23292632,18.7054095,41.26189992,34.57782641
AT5G41060,303.0221973,244.189044,215.1789577,206.3918208,202.0193346,239.7973085
AT5G41070,495.8340645,500.2508139,483.6988996,278.5797932,294.2778972,292.6018452
