genes,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
AT4G27852,105.1772095,1.344275359,0.261079666,5.148908691,2.62E-07,4.11E-06
AT1G58270,1483.323648,1.342026379,0.428517628,3.131788032,0.001737453,0.008465038
AT4G16370,3942.574523,1.341283185,0.214351555,6.25739891,3.91E-10,1.11E-08
AT3G20390,7964.402368,1.340165945,0.137023885,9.780527996,1.36E-22,1.58E-20
AT1G19300,505.6184091,1.337488446,0.236158745,5.66351437,1.48E-08,3.10E-07
AT3G48080,47.54527107,1.337184014,0.282909759,4.726539014,2.28E-06,2.81E-05
AT3G51090,234.4343947,1.336814457,0.164057446,8.148453418,3.69E-16,2.34E-14
AT5G50460,1301.261824,1.336780464,0.137163629,9.745881451,1.92E-22,2.18E-20
AT2G29710,22.18652341,1.335298074,0.381372708,3.501294266,0.000463004,0.00279363
AT5G55120,2176.727891,1.335287202,0.161195228,8.283664598,1.19E-16,7.91E-15
AT3G49320,150.8301214,1.33446849,0.208046871,6.414268486,1.42E-10,4.34E-09
AT1G09070,3128.401347,1.333407796,0.168684852,7.904727522,2.69E-15,1.57E-13
AT1G65486,64.11411783,1.329010278,0.246026788,5.40189257,6.59E-08,1.19E-06
AT4G03985,43.54026373,1.327538124,0.27587157,4.812159966,1.49E-06,1.96E-05
AT3G25610,164.4374016,1.326605984,0.178323207,7.439334478,1.01E-13,4.91E-12
AT1G05783,50.55852573,1.324060849,0.277482314,4.771694568,1.83E-06,2.33E-05
AT5G21940,290.1094924,1.32397658,0.367334691,3.604278637,0.000313021,0.002001441
AT3G23120,65.71555882,1.323278307,0.358651858,3.68959,0.000224616,0.00150684
AT3G15510,228.6589543,1.323198393,0.142545664,9.282628116,1.65E-20,1.62E-18
AT1G67855,55.77687205,1.321470153,0.309944282,4.263573266,2.01E-05,0.000189109
AT5G16410,32.67275857,1.318128816,0.378076585,3.486406903,0.000489556,0.002927473
AT2G15080,1472.927499,1.317936613,0.194619515,6.771862588,1.27E-11,4.70E-10
AT1G54030,1231.498495,1.316400252,0.197998993,6.648519917,2.96E-11,1.02E-09
AT1G65860,3190.64368,1.315649795,0.113686456,11.5726168,5.67E-31,1.36E-28
AT5G16370,772.6156822,1.313588958,0.187078514,7.021591787,2.19E-12,9.15E-11
AT4G21570,3188.533525,1.309796475,0.173521498,7.548323932,4.41E-14,2.23E-12
AT5G13800,3798.832651,1.307191346,0.170033671,7.687838158,1.50E-14,8.03E-13
AT1G28190,130.2908154,1.306933543,0.282544636,4.625582564,3.74E-06,4.32E-05
AT5G13200,935.3499075,1.306631489,0.207244908,6.304770044,2.89E-10,8.36E-09
AT3G55940,332.7631415,1.30260443,0.161208105,8.080266388,6.46E-16,4.04E-14
AT1G13280,1464.449485,1.301118076,0.149839955,8.683385377,3.84E-18,2.91E-16
AT2G28400,140.806172,1.300829817,0.286836915,4.535085088,5.76E-06,6.33E-05
ath-miR398b-3p,110.0788224,1.298933839,0.215026349,6.040812427,1.53E-09,3.81E-08
AT1G22570,1200.994431,1.295612956,0.208968445,6.200041138,5.64E-10,1.54E-08
AT2G23340,1141.968762,1.292283219,0.263971486,4.895540942,9.80E-07,1.35E-05
AT1G72450,4561.82618,1.290203383,0.358970533,3.594176305,0.000325419,0.002069342
AT3G15210,1019.366482,1.289655185,0.404712653,3.186594675,0.001439584,0.007226574
AT5G08840,29.86960349,1.28869814,0.312207942,4.127691735,3.66E-05,0.000315597
AT3G60160,600.9154574,1.288669152,0.164896696,7.815008935,5.50E-15,3.09E-13
AT3G22160,97.47527138,1.288187518,0.309829164,4.157734875,3.21E-05,0.000282139
AT5G64660,132.7035141,1.287025872,0.269110624,4.782516021,1.73E-06,2.23E-05
AT3G08770,217.3457234,1.283180271,0.211406433,6.069731425,1.28E-09,3.25E-08
AT3G21781,38.76309501,1.282099507,0.302294183,4.241231156,2.22E-05,0.000205662
AT3G21780,38.76309501,1.282099507,0.302294183,4.241231156,2.22E-05,0.000205662
AT3G13310,399.9692951,1.276561886,0.298634218,4.274667163,1.91E-05,0.000181172
AT2G47670,72.99952827,1.276289616,0.239790158,5.322527108,1.02E-07,1.77E-06
AT4G39950,2365.8881,1.27498418,0.109557984,11.63752864,2.66E-31,6.56E-29
AT4G27850,120.6731613,1.274745857,0.240055628,5.310210246,1.09E-07,1.88E-06
AT1G14520,161.9784932,1.274003019,0.314445915,4.051580759,5.09E-05,0.000419227
AT3G28930,677.4482093,1.270180116,0.145030655,8.758011282,1.99E-18,1.56E-16
AT2G39770,3495.978919,1.268146112,0.126845644,9.997553488,1.56E-23,1.99E-21
AT4G18170,61.39791174,1.265466679,0.30503452,4.148601546,3.35E-05,0.000291973
AT2G46270,938.766511,1.263575471,0.235930736,5.355705201,8.52E-08,1.51E-06
AT5G49480,2607.476726,1.260657868,0.383770771,3.284924136,0.001020098,0.00544726
AT3G05936,276.0327307,1.260250714,0.202795945,6.214378258,5.15E-10,1.42E-08
AT5G64310,214.5138219,1.258204619,0.201103685,6.256497088,3.94E-10,1.11E-08
AT5G03160,1231.101638,1.258145554,0.160056981,7.860610302,3.82E-15,2.21E-13
AT1G72940,584.9638888,1.256847278,0.251542964,4.996551129,5.84E-07,8.46E-06
AT5G14545,166.1587869,1.25317418,0.224377881,5.585105682,2.34E-08,4.69E-07
AT1G24625,764.2159152,1.2526341,0.142770894,8.77373576,1.73E-18,1.37E-16
AT2G16720,119.2175893,1.251323185,0.187523263,6.672895759,2.51E-11,8.74E-10
AT4G12080,66.59149471,1.251121888,0.341321889,3.665519055,0.000246837,0.001633487
AT3G15790,2635.029148,1.250789792,0.155494125,8.043968171,8.70E-16,5.35E-14
AT1G67856,57.38494216,1.250012741,0.294279681,4.247703188,2.16E-05,0.000200921
AT1G04760,160.936596,1.248690195,0.280645601,4.449348899,8.61E-06,9.03E-05
AT5G66590,884.640782,1.247796864,0.240904281,5.179637561,2.22E-07,3.55E-06
AT5G33290,381.5701709,1.247312357,0.203208932,6.138078421,8.35E-10,2.21E-08
AT2G47780,72.18976787,1.245180019,0.24244635,5.13589921,2.81E-07,4.38E-06
AT5G08275,59.4095344,1.242577784,0.346434203,3.586764156,0.000334807,0.002118216
AT2G35550,55.81141152,1.242388447,0.330938909,3.754132299,0.000173943,0.001215217
AT2G47470,4191.779783,1.242280654,0.158076608,7.858725416,3.88E-15,2.24E-13
AT3G09830,447.1424705,1.241391273,0.185954091,6.675794375,2.46E-11,8.58E-10
AT3G44798,163.8022368,1.238493442,0.129771182,9.543670836,1.38E-21,1.44E-19
AT3G06890,27.9197222,1.238073561,0.394863027,3.135450714,0.001715903,0.00838048
AT2G05260,192.9381372,1.232728441,0.200901803,6.135975002,8.46E-10,2.23E-08
AT4G25433,41.10187686,1.231585547,0.303807685,4.053832759,5.04E-05,0.000416967
AT5G60300,559.2706057,1.231289184,0.193785635,6.353872332,2.10E-10,6.24E-09
AT4G36500,614.8525284,1.230895093,0.239837966,5.132194515,2.86E-07,4.44E-06
AT4G02380,367.0586368,1.230344418,0.324738356,3.788725273,0.000151422,0.001079096
AT1G07563,46.80718084,1.228179992,0.32081946,3.828259015,0.000129053,0.000941717
AT5G15240,326.482117,1.227351757,0.234867691,5.225715607,1.73E-07,2.82E-06
AT4G27657,190.9711604,1.227052259,0.361686332,3.392586756,0.00069236,0.003910867
AT5G09420,119.1320356,1.225615151,0.209510519,5.849897915,4.92E-09,1.12E-07
AT1G13340,63.04513888,1.2254761,0.269534749,4.546634908,5.45E-06,6.03E-05
AT5G02260,347.2962948,1.224654948,0.301305301,4.06449852,4.81E-05,0.000401469
AT3G09520,23.01744037,1.224335701,0.315600295,3.879387056,0.00010472,0.000789037
AT5G42050,4959.580845,1.223953337,0.112730181,10.85737046,1.84E-27,3.27E-25
AT3G05120,1246.636925,1.222868609,0.190849016,6.407518546,1.48E-10,4.52E-09
AT4G04125,172.4820685,1.222785046,0.330782397,3.69664486,0.000218468,0.001472334
AT5G64260,532.5436469,1.220807156,0.231161182,5.281194475,1.28E-07,2.16E-06
AT3G58710,266.5379267,1.219971574,0.19088997,6.390967394,1.65E-10,4.99E-09
AT3G14870,90.52708679,1.219633725,0.289261943,4.216364287,2.48E-05,0.000226478
AT2G20340,1997.596485,1.21932374,0.195834923,6.22628345,4.78E-10,1.32E-08
AT1G61560,41.98626804,1.218057129,0.31086933,3.918228689,8.92E-05,0.000687498
AT3G51960,217.3202033,1.217116316,0.143151317,8.502306073,1.86E-17,1.31E-15
AT1G18740,548.2187738,1.216487551,0.284233622,4.279886184,1.87E-05,0.000177621
AT2G25450,21777.02883,1.213933561,0.151185347,8.029439258,9.79E-16,5.98E-14
AT3G56880,1274.699398,1.213460233,0.279686847,4.338638892,1.43E-05,0.000140863
AT4G26850,22485.34231,1.212824891,0.178941472,6.777774194,1.22E-11,4.56E-10
AT3G49530,554.2983024,1.212331058,0.1627547,7.448823663,9.42E-14,4.61E-12
AT1G70290,2464.29349,1.20921908,0.36653661,3.299040391,0.00097016,0.005233115
AT1G09925,528.6026824,1.20814517,0.156578955,7.715884729,1.20E-14,6.54E-13
AT5G06750,360.166507,1.208008716,0.205866543,5.867921504,4.41E-09,1.01E-07
AT1G69790,268.4608604,1.207741621,0.199595348,6.050950752,1.44E-09,3.60E-08
AT4G16660,4542.983691,1.207594974,0.135462884,8.914581907,4.90E-19,4.12E-17
AT3G49120,1564.196074,1.206510705,0.283523427,4.255418044,2.09E-05,0.000194749
AT5G06865,578.6334919,1.205681003,0.226965735,5.312171916,1.08E-07,1.86E-06
AT5G06860,562.2938686,1.205404623,0.223153223,5.401690396,6.60E-08,1.19E-06
AT3G07835,935.2663224,1.205316019,0.183550682,6.566665995,5.15E-11,1.70E-09
AT3G25290,347.6839616,1.203838284,0.245955108,4.894544764,9.85E-07,1.36E-05
AT1G72900,513.2198395,1.202778203,0.243341077,4.942766819,7.70E-07,1.09E-05
AT5G07660,94.09914709,1.202493442,0.302282385,3.978046699,6.95E-05,0.000552034
AT1G05620,372.6631923,1.201087529,0.236167977,5.085734081,3.66E-07,5.53E-06
AT3G11580,275.9124432,1.20051197,0.209462086,5.731404641,9.96E-09,2.14E-07
AT1G65500,25.17614836,1.200350391,0.379454302,3.163359553,0.001559596,0.007726489
AT2G30250,355.8800177,1.199721041,0.17722147,6.769614544,1.29E-11,4.77E-10
AT1G74420,50.28679034,1.199267688,0.291584684,4.112931012,3.91E-05,0.00033257
AT3G32980,72.37989871,1.198977609,0.255208965,4.698023089,2.63E-06,3.18E-05
AT5G24390,59.82994332,1.196684161,0.221721874,5.397230958,6.77E-08,1.22E-06
AT1G49530,124.6022613,1.195887141,0.286846676,4.169081399,3.06E-05,0.000270257
AT2G46940,69.33112916,1.195579191,0.278945794,4.286062803,1.82E-05,0.000173458
AT5G17300,173.7970215,1.194765905,0.36204614,3.300037684,0.000966718,0.005220458
AT2G45510,260.6741332,1.194463439,0.184650458,6.468781332,9.88E-11,3.12E-09
AT4G04610,5451.406941,1.192583565,0.16247283,7.340203064,2.13E-13,1.01E-11
ath-miR398b-5p,82.9903526,1.192130022,0.31236161,3.816506204,0.000135355,0.000981897
AT5G16340,92.02195078,1.189773054,0.24484353,4.859319959,1.18E-06,1.59E-05
AT1G04427,32.23587372,1.189040788,0.323593895,3.674484618,0.00023833,0.00158704
AT3G02150,616.7225722,1.18476575,0.20079398,5.900404726,3.63E-09,8.42E-08
AT3G52770,54.67512159,1.184712648,0.36549711,3.241373508,0.001189552,0.006203902
AT1G69370,912.884086,1.184315799,0.158962101,7.450302883,9.31E-14,4.57E-12
AT1G70800,98.60016246,1.181048567,0.368435749,3.205575382,0.001347927,0.006860447
AT3G57530,1347.778063,1.17935361,0.201653365,5.848420184,4.96E-09,1.12E-07
AT3G03910,100.0360853,1.178818476,0.220351217,5.349725288,8.81E-08,1.55E-06
AT2G23320,441.0833789,1.177061545,0.202198901,5.821305343,5.84E-09,1.30E-07
AT1G70820,15464.51984,1.17651907,0.138457803,8.497311421,1.94E-17,1.36E-15
AT5G09160,121.0724683,1.174163124,0.174210491,6.739910538,1.58E-11,5.75E-10
AT3G07350,404.976563,1.172568843,0.256850225,4.565185183,4.99E-06,5.60E-05
AT1G80120,169.0696658,1.171608701,0.246689606,4.749323323,2.04E-06,2.56E-05
AT2G39240,124.5067632,1.170308948,0.163436459,7.160635715,8.03E-13,3.55E-11
AT3G59080,205.9027812,1.169881941,0.22100051,5.29357123,1.20E-07,2.04E-06
AT1G80610,294.5843151,1.168153593,0.198560216,5.883120069,4.03E-09,9.24E-08
AT3G07650,33.78120768,1.16805388,0.325472739,3.58879175,0.000332214,0.002102946
AT1G32700,724.0285465,1.167655469,0.197041526,5.925935984,3.11E-09,7.32E-08
AT3G47750,416.4530351,1.167639881,0.14932078,7.819674411,5.30E-15,3.00E-13
AT3G47960,4351.017391,1.166586699,0.181205964,6.437904552,1.21E-10,3.76E-09
AT2G07662,36.96854604,1.161093031,0.353343144,3.286021109,0.001016134,0.005428563
AT3G62010,5412.781793,1.160430619,0.171136381,6.780735991,1.20E-11,4.47E-10
AT5G45850,100.1789579,1.159245335,0.234152824,4.950806545,7.39E-07,1.05E-05
AT5G45990,36.1971482,1.158680089,0.301423859,3.844022477,0.000121034,0.000890125
AT3G14550,55.8262862,1.157963878,0.244184241,4.742172846,2.11E-06,2.63E-05
AT5G58690,248.245445,1.157763366,0.230285787,5.027506833,4.97E-07,7.29E-06
AT5G59780,2727.729687,1.155867465,0.192387963,6.008003033,1.88E-09,4.60E-08
AT5G50950,19473.3052,1.15534995,0.124244969,9.298967689,1.42E-20,1.40E-18
AT4G10960,74.05198999,1.154709754,0.318258503,3.628213368,0.000285389,0.00185203
AT1G52710,304.4558113,1.154188035,0.222949044,5.176914035,2.26E-07,3.58E-06
AT4G37190,1144.321991,1.154126077,0.15238505,7.573748694,3.63E-14,1.84E-12
AT1G34210,1669.17804,1.152034736,0.203838509,5.651703121,1.59E-08,3.30E-07
AT5G14200,11586.66543,1.152015477,0.113322118,10.16584841,2.82E-24,3.82E-22
AT2G28305,1263.886307,1.150866409,0.158791182,7.247672028,4.24E-13,1.96E-11
AT2G46400,105.1383898,1.149156329,0.242012785,4.748329022,2.05E-06,2.56E-05
AT5G40780,138.6114324,1.148461452,0.231213765,4.967098084,6.80E-07,9.74E-06
AT2G14750,6601.654065,1.148191502,0.108822819,10.55101779,5.02E-26,7.70E-24
AT4G36010,1626.769084,1.147332908,0.263598461,4.352578182,1.35E-05,0.000133538
AT1G67865,29880.71923,1.146793725,0.22053593,5.200031229,1.99E-07,3.19E-06
AT2G30820,89.828686,1.146644553,0.272119434,4.213754727,2.51E-05,0.000228532
AT1G73040,207.5905669,1.14606286,0.310668035,3.689027296,0.000225113,0.001509745
AT1G49520,382.9885671,1.145155911,0.21203151,5.400876096,6.63E-08,1.20E-06
AT3G19100,723.6881163,1.143839224,0.192720561,5.935221525,2.93E-09,6.94E-08
AT1G63440,181.5112079,1.143516526,0.277179966,4.125538152,3.70E-05,0.000317865
AT5G44820,73.75735185,1.141751833,0.258469029,4.417364195,9.99E-06,0.000103226
AT4G20830,1446.243809,1.139694847,0.214588051,5.311082511,1.09E-07,1.87E-06
AT5G45110,680.5223509,1.137661549,0.179202318,6.34847565,2.17E-10,6.45E-09
AT3G47840,34.95855093,1.136835142,0.265962769,4.274414595,1.92E-05,0.000181304
AT3G46600,634.9037634,1.136084001,0.29544519,3.845329142,0.000120391,0.000887064
AT1G23100,84.33718015,1.134807923,0.223771027,5.071290674,3.95E-07,5.92E-06
AT1G17340,1030.485143,1.133348702,0.193478169,5.857760103,4.69E-09,1.07E-07
AT4G20835,1420.481233,1.131281849,0.215053217,5.260473963,1.44E-07,2.38E-06
AT1G43980,37.06989989,1.129146065,0.249456218,4.52642982,6.00E-06,6.56E-05
AT2G34240,29.43646856,1.126516408,0.283132559,3.978759667,6.93E-05,0.000550754
AT5G07700,361.9394567,1.125767098,0.126065885,8.929990036,4.26E-19,3.61E-17
AT2G25510,8421.885352,1.12503048,0.173137252,6.497911163,8.14E-11,2.60E-09
AT2G26740,3460.051891,1.124381433,0.134705063,8.346987145,7.00E-17,4.73E-15
AT3G11010,396.1145277,1.124254068,0.238709388,4.709718696,2.48E-06,3.03E-05
AT5G19240,1443.411854,1.123793704,0.205985686,5.455688347,4.88E-08,9.11E-07
AT5G55450,61.16873247,1.121023273,0.337772676,3.318869033,0.000903828,0.004917068
AT3G14900,544.6956442,1.119119838,0.128957968,8.678175191,4.02E-18,3.03E-16
AT1G78370,24772.13451,1.118509061,0.112466359,9.945276726,2.64E-23,3.28E-21
AT1G18320,28.83834679,1.116090804,0.282315331,3.9533482,7.71E-05,0.000603274
AT4G27070,774.514346,1.115765758,0.173042385,6.447933294,1.13E-10,3.56E-09
AT5G58710,2088.310805,1.113666202,0.156663174,7.108666167,1.17E-12,5.06E-11
AT2G16890,83.4230129,1.111872566,0.328036488,3.389478327,0.000700257,0.003951669
AT1G77405,30.86377139,1.110597821,0.311382259,3.566670192,0.000361546,0.002262364
AT3G07760,374.1211862,1.110193345,0.121486503,9.138408924,6.34E-20,5.83E-18
AT2G48090,32.3555268,1.109861674,0.35328326,3.141563155,0.001680486,0.008229783
AT1G57990,167.1210809,1.107419949,0.304085123,3.64180904,0.000270729,0.001766668
AT3G17860,910.0146564,1.106014884,0.160431358,6.894006882,5.42E-12,2.13E-10
AT1G27350,1266.103872,1.104093628,0.10729614,10.29015236,7.81E-25,1.11E-22
AT5G52570,1945.974282,1.103747111,0.231352562,4.770844564,1.83E-06,2.34E-05
AT5G44005,385.0632898,1.10359341,0.220921288,4.995414519,5.87E-07,8.50E-06
AT5G60142,49.79868147,1.103493078,0.228731754,4.824398273,1.40E-06,1.86E-05
ath-miR2936,74.09542022,1.103446395,0.316816879,3.482915419,0.000495985,0.002959129
AT3G21460,198.1998358,1.103102858,0.216482265,5.095580727,3.48E-07,5.28E-06
AT3G06550,5608.278864,1.102981818,0.160016606,6.892920961,5.47E-12,2.14E-10
AT5G35735,829.2698448,1.100942936,0.205526403,5.356698305,8.48E-08,1.50E-06
AT5G12420,31.35817009,1.100327038,0.304507877,3.613460016,0.000302138,0.001939787
AT4G15260,362.6912249,1.099704135,0.236696486,4.646051805,3.38E-06,3.96E-05
AT5G11810,687.4286673,1.098092481,0.120881826,9.084016343,1.05E-19,9.48E-18
AT3G01180,5293.114344,1.097242215,0.164449798,6.672201662,2.52E-11,8.77E-10
AT5G46710,214.8580465,1.096640274,0.233481677,4.696900785,2.64E-06,3.19E-05
AT5G50360,35.84615734,1.095846412,0.332463638,3.296139142,0.000980235,0.005277649
AT1G69870,3715.121665,1.095570987,0.221380895,4.948805482,7.47E-07,1.06E-05
AT4G12030,4057.377447,1.095345258,0.0920562,11.89865816,1.20E-32,3.17E-30
AT1G65110,18.71064835,1.094241158,0.342008448,3.19945652,0.00137687,0.006977468
AT3G48830,272.3288685,1.094149444,0.1623535,6.739303081,1.59E-11,5.76E-10
AT5G60900,339.3149689,1.092736505,0.160391178,6.812946444,9.56E-12,3.62E-10
AT5G39790,1378.852336,1.092549224,0.131223799,8.325846645,8.37E-17,5.63E-15
AT1G61065,235.3414184,1.091149524,0.217693825,5.012312703,5.38E-07,7.84E-06
AT1G52430,27.83804168,1.087514476,0.308101268,3.529730603,0.000415983,0.002553271
AT5G04895,301.4226685,1.085708427,0.11853503,9.159388793,5.22E-20,4.84E-18
AT1G05043,132.2760289,1.084235134,0.184051641,5.890928917,3.84E-09,8.90E-08
AT5G13750,732.2360222,1.081546536,0.246311574,4.390969195,1.13E-05,0.00011477
AT4G28330,23.72883619,1.080392369,0.317692871,3.400744766,0.000672025,0.003818075
AT2G04032,73.85471193,1.079641891,0.280521613,3.848694148,0.000118749,0.000876345
AT4G26055,29.27686377,1.07888513,0.298275743,3.617072982,0.000297953,0.001917645
AT5G05590,221.7300898,1.078796132,0.186161115,5.794959559,6.83E-09,1.50E-07
AT3G51430,304.7284575,1.078634566,0.251819754,4.283359624,1.84E-05,0.000175437
AT5G41620,307.8104668,1.078346776,0.153297231,7.034352602,2.00E-12,8.37E-11
AT1G53580,2742.124485,1.077962568,0.167891125,6.420604817,1.36E-10,4.18E-09
AT5G65140,1252.953579,1.077239629,0.117211371,9.190572711,3.91E-20,3.68E-18
AT2G41475,1680.063935,1.075536727,0.180221709,5.967853346,2.40E-09,5.78E-08
AT4G33700,830.9429015,1.075192345,0.154383549,6.964423028,3.30E-12,1.34E-10
AT4G26060,176.7651903,1.072802996,0.22123517,4.849152134,1.24E-06,1.66E-05
AT1G61562,23.40901571,1.07272397,0.345914689,3.101122915,0.001927882,0.009219139
AT4G34150,2235.66713,1.072663034,0.158312459,6.775607189,1.24E-11,4.62E-10
AT1G54050,301.5649236,1.069542763,0.202666325,5.277358047,1.31E-07,2.20E-06
AT3G56620,67.25406311,1.067317593,0.313125866,3.408589673,0.000652996,0.003728931
AT5G18490,193.6614029,1.067128355,0.225198526,4.738611631,2.15E-06,2.67E-05
AT5G49410,86.05617335,1.06406598,0.248647375,4.279417707,1.87E-05,0.000177892
AT2G39020,1852.021304,1.061569439,0.186621249,5.688363173,1.28E-08,2.71E-07
AT1G05933,98.63110576,1.061181545,0.177585627,5.975604903,2.29E-09,5.52E-08
AT3G14720,2755.117797,1.060879294,0.178360228,5.947958843,2.72E-09,6.46E-08
AT1G71100,474.5466818,1.060493841,0.187993766,5.64111175,1.69E-08,3.50E-07
AT1G14040,88.35283253,1.060264189,0.194815633,5.442397879,5.26E-08,9.75E-07
AT1G14230,633.4591745,1.06012753,0.28914936,3.666366506,0.000246021,0.001630847
AT5G24530,349.6674479,1.057938922,0.250437035,4.224370893,2.40E-05,0.000219771
AT1G11220,22.18806733,1.057121604,0.324009857,3.262621744,0.001103867,0.005821678
AT4G18880,490.4206398,1.056260177,0.209005168,5.053751474,4.33E-07,6.43E-06
AT4G14420,964.3733277,1.056085399,0.155944864,6.772171726,1.27E-11,4.70E-10
AT4G21326,505.7134185,1.055371697,0.2377422,4.439143318,9.03E-06,9.44E-05
AT3G27210,178.308461,1.050683261,0.202954285,5.176945455,2.26E-07,3.58E-06
AT1G56430,340.9631006,1.050491468,0.23608234,4.449682556,8.60E-06,9.02E-05
AT2G04400,2207.13693,1.049441168,0.159505841,6.579327502,4.73E-11,1.57E-09
AT4G33050,517.3680591,1.048094063,0.248629671,4.215482642,2.49E-05,0.000227276
AT5G58670,642.249011,1.047292078,0.244549342,4.282538932,1.85E-05,0.0001758
AT4G16750,152.7025167,1.046517687,0.226439024,4.62163133,3.81E-06,4.39E-05
AT1G62540,650.4075284,1.04557492,0.122278687,8.550753553,1.22E-17,8.77E-16
AT3G13770,66.59649441,1.044975241,0.233225269,4.480540404,7.45E-06,7.96E-05
AT1G27770,1631.516562,1.043990689,0.107238864,9.735189764,2.13E-22,2.41E-20
AT3G05380,831.5735842,1.043791594,0.166248999,6.278483475,3.42E-10,9.79E-09
AT5G04080,584.4433279,1.043662796,0.137496776,7.590452834,3.19E-14,1.64E-12
AT5G26340,2585.034577,1.0436095,0.219031207,4.764661221,1.89E-06,2.40E-05
AT1G69310,214.8215408,1.041717244,0.16755022,6.217343348,5.06E-10,1.40E-08
AT1G28580,894.8652834,1.041679267,0.218087446,4.776429307,1.78E-06,2.29E-05
AT5G63490,959.1541384,1.040846525,0.175206581,5.940681687,2.84E-09,6.73E-08
AT4G19230,88.06490544,1.040742174,0.247679161,4.201977149,2.65E-05,0.000238858
AT3G26090,312.4133667,1.039094231,0.191951985,5.413302873,6.19E-08,1.13E-06
AT3G50420,73.18531952,1.03873944,0.222711577,4.664056773,3.10E-06,3.65E-05
AT5G59732,2111.878927,1.03869592,0.221163635,4.696504106,2.65E-06,3.19E-05
AT5G59730,2112.003803,1.038435746,0.221088308,4.696927467,2.64E-06,3.19E-05
AT1G30530,1751.12446,1.036750273,0.133169541,7.785190683,6.96E-15,3.88E-13
AT2G28510,640.7469326,1.036269147,0.211389286,4.902183854,9.48E-07,1.31E-05
AT5G22788,32.79029364,1.03584679,0.33235548,3.116683353,0.001828979,0.008820696
AT5G46350,33.8776651,1.035659341,0.289633464,3.575758569,0.000349214,0.002201643
AT2G26750,142.5344657,1.035516847,0.200423515,5.166643492,2.38E-07,3.77E-06
AT5G65020,987.9507214,1.035239117,0.163139488,6.345729848,2.21E-10,6.55E-09
AT5G54610,314.1103235,1.034298864,0.255538134,4.047532344,5.18E-05,0.000425451
AT2G30100,2079.534952,1.034108333,0.175720687,5.884954971,3.98E-09,9.16E-08
AT1G73540,532.0569401,1.033198465,0.313369904,3.297057097,0.000977036,0.005264056
AT5G07460,1999.637664,1.032624527,0.123882796,8.335495843,7.72E-17,5.20E-15
AT4G39890,58.25162949,1.031824804,0.29341049,3.516659558,0.000437014,0.002655256
AT1G14010,633.1895102,1.031544254,0.159988294,6.447623333,1.14E-10,3.56E-09
AT3G59880,30.45262354,1.03046411,0.281210139,3.664391741,0.000247927,0.001638387
AT5G25980,24308.06519,1.02940089,0.18238432,5.64413044,1.66E-08,3.44E-07
AT1G05257,333.5782952,1.025477016,0.233252739,4.396420038,1.10E-05,0.000112365
AT1G31820,321.7051013,1.025105585,0.279401168,3.668938075,0.00024356,0.001615902
AT1G29310,571.6549524,1.023472853,0.135297577,7.564605913,3.89E-14,1.97E-12
AT3G54960,444.9265808,1.02344752,0.163149326,6.27307231,3.54E-10,1.01E-08
AT1G70830,5793.565348,1.023065932,0.191360361,5.346279288,8.98E-08,1.57E-06
AT5G57910,121.6524102,1.022912542,0.304745833,3.35660879,0.000789047,0.004386232
AT5G43745,2514.771228,1.020883994,0.113567811,8.989202001,2.49E-19,2.17E-17
AT2G41010,199.0391236,1.020757456,0.246310919,4.144182724,3.41E-05,0.000296776
AT1G09500,625.3886611,1.020255145,0.316405871,3.224513951,0.001261867,0.006514245
AT1G27290,590.5157133,1.01896755,0.248995265,4.092316976,4.27E-05,0.000359914
AT1G24148,2199.529363,1.017189559,0.169281668,6.008858309,1.87E-09,4.58E-08
AT1G25220,587.0034518,1.016796995,0.120513561,8.437199795,3.25E-17,2.24E-15
AT2G26190,590.4851034,1.016495132,0.249862314,4.068221084,4.74E-05,0.000396096
AT4G04810,270.5757347,1.015418945,0.226506101,4.482965093,7.36E-06,7.88E-05
AT5G25930,82.10511901,1.013127543,0.274220347,3.694574652,0.000220255,0.001482251
AT2G03380,57.73399655,1.012754571,0.228561087,4.431001723,9.38E-06,9.78E-05
AT1G33610,72.59316178,1.012452064,0.288637385,3.50769553,0.000452006,0.002731486
AT2G22500,531.7086778,1.012400469,0.275002257,3.681426037,0.000231933,0.001550606
AT5G66070,276.0945955,1.011612711,0.230998817,4.379298228,1.19E-05,0.000120153
AT1G66920,121.3403113,1.010277364,0.284821137,3.547058949,0.000389557,0.002411267
AT5G64990,26.91111991,1.004720325,0.311470028,3.225736773,0.001256489,0.006495135
AT3G18830,1411.029915,1.002613117,0.219883608,4.559744705,5.12E-06,5.71E-05
AT4G04180,184.7366889,1.002072529,0.159975601,6.263908532,3.75E-10,1.07E-08
AT1G24330,443.8967518,1.001492989,0.150306274,6.66301521,2.68E-11,9.23E-10
AT5G24590,727.0063621,1.001274403,0.146975344,6.812533166,9.59E-12,3.63E-10
AT5G20190,7357.985545,1.000661796,0.18418453,5.432930748,5.54E-08,1.02E-06
AT5G48380,875.5878201,1.000367478,0.159327676,6.278679912,3.41E-10,9.79E-09
AT5G27110,85.66658593,0.99792275,0.195338592,5.108681996,3.24E-07,4.97E-06
AT5G05730,1548.472497,0.997673726,0.154184741,6.470638538,9.76E-11,3.09E-09
AT5G17990,2821.119088,0.997082654,0.119017643,8.377603748,5.40E-17,3.66E-15
AT5G67180,792.6418271,0.997009674,0.144402405,6.904384132,5.04E-12,1.99E-10
